"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 27 21:57:52 UTC 2021","Thu May 27 21:58:16 UTC 2021","24466","","EEM Complex","","","","Add file to EEM Complex section (example #1)",""
"passed","Thu May 27 21:55:40 UTC 2021","Thu May 27 21:56:10 UTC 2021","30391","","Course Project","","","","Assign course project topic to student (example #2)",""
"failed","Thu May 27 21:50:29 UTC 2021","Thu May 27 21:51:05 UTC 2021","36197","","Graduation Project","","","","Confirm student on graduation project topic (example #3)",""
"failed","Thu May 27 21:49:38 UTC 2021","Thu May 27 21:50:25 UTC 2021","47226","","Interactive Book","","","","Add text to interactive book topic (example #2)",""
"failed","Thu May 27 22:03:36 UTC 2021","Thu May 27 22:04:28 UTC 2021","51711","","Course Project","","","","Delete course project topic (example #2)",""
"failed","Thu May 27 22:03:15 UTC 2021","Thu May 27 22:04:00 UTC 2021","45877","","EEM Complex","","","","Delete EEM Complex (example #1)",""
"failed","Thu May 27 22:02:00 UTC 2021","Thu May 27 22:02:28 UTC 2021","27936","","EEM Complex","","","","Edit EEM Complex (example #4)",""
"failed","Thu May 27 21:55:52 UTC 2021","Thu May 27 21:56:33 UTC 2021","40525","","EEM Complex","","","","Add folder to EEM Complex section (example #3)",""
"passed","Thu May 27 22:06:47 UTC 2021","Thu May 27 22:07:17 UTC 2021","30389","","Interactive Book","","","","Delete interactive book topic (example #2)",""
"failed","Thu May 27 21:50:29 UTC 2021","Thu May 27 21:51:04 UTC 2021","34903","","Course Project","","","","Student select course project topic (example #3)",""
"failed","Thu May 27 21:57:29 UTC 2021","Thu May 27 21:58:11 UTC 2021","42275","","Graduation Project","","","","Delete graduation project topic (example #1)",""
"failed","Thu May 27 21:47:45 UTC 2021","Thu May 27 21:48:25 UTC 2021","40682","","Course Project","","","","Create new course project topic (example #3)",""
"failed","Thu May 27 21:58:43 UTC 2021","Thu May 27 21:59:17 UTC 2021","33394","","Interactive Book","","","","Student cannot see hide interactive book (example #1)",""
"failed","Thu May 27 21:50:10 UTC 2021","Thu May 27 21:50:47 UTC 2021","37096","","EEM Complex","","","","User can see the Map EEM Complex (example #3)",""
